PM Vidyalaxmi Institutes (All),,,,
(As on Date:  9-12-2025  4:33:26),,,,
S. No.,AISHE Code,Institute Name,State Name,Management Type
238,C-56398,ESIC MEDICAL COLLEGE AND HOSPITAL,Haryana,Central Government
239,C-58648,Footwear Design and Development Institute - Rohtak,Haryana,Central Government
240,S-17295,Great Lakes Institute of Management,Haryana,Private
241,U-0162,Guru Jambheshwar University of Science and Technology,Haryana,State Government
242,C-29454,I.C. College of Community Science,Haryana,State Government
243,U-0171,ICAR - National Dairy Research Institute,Haryana,Central Government
244,U-0800,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT",Haryana,Central Government
245,U-1015,Indian Institute of Management Rohtak,Haryana,Central Government
246,U-0175,"J. C. Bose University of Science and Technology, YMCA",Haryana,State Government
247,U-0164,Kurukshetra University,Haryana,State Government
248,U-0165,Lala lajpat Rai University of Veterinary and Animal Sciences,Haryana,State Government
249,U-0168,Maharishi Markandeshwar (Deemed to be University),Haryana,Private
250,U-0167,Maharshi Dayanand University,Haryana,State Government
251,S-113,Management Development Institute,Haryana,Private
252,U-0169,Manav Rachna International Institute of Research and Studies,Haryana,Private
253,U-0170,"National Brain Research Centre, Gurgaon",Haryana,Central Government
254,S-117,NATIONAL COUNCIL FOR CEMENT AND BUILDING MATERIALS,Haryana,Central Government
255,U-1073,National Institute of Design Haryana,Haryana,Central Government
256,C-65740,NATIONAL INSTITUTE OF FASHION TECHNOLOGY PANCHKULA,Haryana,Central Government
257,U-0989,"National Institute of Food Technology, Enterprenurship and Management",Haryana,Central Government
258,U-0172,"National Institute of Technology, Kurukshetra",Haryana,Central Government
259,C-28262,"National Power Training Institute ,  Faridabad.",Haryana,Central Government
260,C-30767,Pandit Bhagwat Dayal Sharma University of Health Sciences,Haryana,State Government
261,C-30756,Postgraduate Institute of Dental Sciences,Haryana,Private
262,U-1055,REGIONAL CENTRE FOR BIOTECHNOLOGY,Haryana,Central Government
263,U-1048,Shri Vishwakarma Skill University,Haryana,State Government
264,U-1218,ALL INDIA INSTITUTE OF MEDICAL SCIENCE,Himachal Pradesh,Central Government
265,C-11398,"Central Research Institute. Kasauli, Distt Solan",Himachal Pradesh,Central Government
266,U-0178,"Central University of Himachal Pradesh, Dharmshala, Kangra",Himachal Pradesh,Central Government
267,U-0179,Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Himachal Pradesh,State Government
268,S-18693,CIPET  CSTS  BADDI,Himachal Pradesh,Central Government
269,U-0181,Dr. Y.S. Parmar University of Horticulture and Forestry,Himachal Pradesh,State Government
270,U-0183,Himachal Pradesh University,Himachal Pradesh,State Government
271,U-0797,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA",Himachal Pradesh,Central Government
272,U-1005,Indian Institute of Management Sirmaur,Himachal Pradesh,Central Government
273,U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Central Government
274,U-0189,"National Institute of Technology, Hamirpur",Himachal Pradesh,Central Government
275,U-0190,Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,Private
276,U-1152,ALL INDIA INSTITUTE OF MEDICAL SCIENCE,Jammu and Kashmir,Central Government
277,U-0631,CENTRAL UNIVERSITY OF JAMMU,Jammu and Kashmir,Central Government
278,U-0193,"Central University of Kashmir, Srinagar",Jammu and Kashmir,Central Government
279,C-47452,"COMPOSITE REGIONAL CENTRE, MINISTRY OF SOCIAL JUSTICE EMPOWERMENT, BEMINA",Jammu and Kashmir,Central Government
280,C-22872,"Government College for Women, Parade Ground , Jammu",Jammu and Kashmir,State Government
281,U-1004,Indian Institute of Management Jammu (IIMJ),Jammu and Kashmir,Central Government
282,U-0906,Indian Institute of Technology Jammu,Jammu and Kashmir,Central Government
283,U-0194,"Islamic University of Science & Technology, Pulwama",Jammu and Kashmir,State Government
284,S-20120,NATIONAL INSTITUTE OF FASHION TECHNOLOGY,Jammu and Kashmir,Central Government
285,U-0197,"National Institute of Technology, Srinagar",Jammu and Kashmir,Central Government
286,U-0199,Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu and Kashmir,State Government
287,U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Jammu and Kashmir,State Government
288,U-0201,Shri Mata Vaishno Devi University,Jammu and Kashmir,State Government
289,U-0195,University of Jammu,Jammu and Kashmir,State Government
290,U-0196,University of Kashmir,Jammu and Kashmir,State Government
291,U-1057,ALL INDIA INSTITUTE OF MEDICAL SCIENCE DEOGHAR,Jharkhand,Central Government
292,C-45399,"B S K COLLEGE, SAHIBGANJ",Jharkhand,Central Government
293,U-0202,Birla Institute of Technology,Jharkhand,Private
294,C-43263,Central Institute of Psychiatry,Jharkhand,Central Government
295,U-0204,"Central University of Jharkhand, Ranchi",Jharkhand,Central Government
296,U-0840,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI",Jharkhand,Central Government
297,U-1003,Indian Institute of Management Ranchi,Jharkhand,Central Government
298,U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand,Central Government
299,S-19407,INDO DANISH TOOL ROOM JAMSHEDPUR,Jharkhand,Central Government
300,U-1339,National Institute of Advanced Manufacturing Technology,Jharkhand,Central Government
301,U-0207,"National Institute of Technology, Jamshedpur",Jharkhand,Central Government
302,U-0600,National University of Study and Research in Law,Jharkhand,State Government
